Mark_info;Model_info;Year;Price_segment;Transmission;Gear_type;Fuel_rate;Vendor_country;Region;Mileage;Horse_power;Owners_number;Body_type;PTS;Color_hex;Salon;Count_doors;Auto_class;Trunk_volume_min;Price_rub
Kia;Rio;2016;MEDIUM;AUTOMATIC;FORWARD_CONTROL;6.4;KOREAN;Волгоград;37564;123;1;SEDAN;True;97948F;False;4;B;500;697000
Kia;Sportage;2011;MEDIUM;AUTOMATIC;FORWARD_CONTROL;7.9;KOREAN;Волгоград;190993;150;2;ALLROAD_5_DOORS;True;FAFBFB;False;5;J;564;700000
Renault;Espace;2003;MEDIUM;MECHANICAL;FORWARD_CONTROL;7.7;EUROPEAN;Ногинск;222900;150;2;MINIVAN;True;97948F;False;5;M;291;255000
Land Rover;Discovery Sport;2020;MEDIUM;AUTOMATIC;ALL_WHEEL_DRIVE;7.9;EUROPEAN;Санкт-Петербург;0;200;NaN;ALLROAD_5_DOORS;True;040001;True;5;J;980;3560000
Mercedes-Benz;M-Класс;2003;PREMIUM;AUTOMATIC;ALL_WHEEL_DRIVE;12.7;EUROPEAN;Москва;151000;235;3;ALLROAD_5_DOORS;False;040001;False;5;J;635;460000
DongFeng;S30;2015;ECONOMY;AUTOMATIC;FORWARD_CONTROL;7.4;CHINESE;Волгоград;36523;117;1;SEDAN;True;EE1D19;False;4;C;487;380000
Skoda;Fabia;2009;MEDIUM;AUTOMATIC;FORWARD_CONTROL;7.6;EUROPEAN;Волгоград;88445;105;2;HATCHBACK_5_DOORS;True;0000CC;False;5;B;300;428000
Renault;Logan;2009;ECONOMY;MECHANICAL;FORWARD_CONTROL;7.2;EUROPEAN;Волгоград;235883;87;3;SEDAN;True;CACECB;False;4;B;510;257000
Kia;Rio;2015;MEDIUM;MECHANICAL;FORWARD_CONTROL;5.9;KOREAN;Москва;118000;107;2;SEDAN;True;FAFBFB;False;4;B;500;460000
Land Rover;Discovery Sport;2020;MEDIUM;AUTOMATIC;ALL_WHEEL_DRIVE;7.9;EUROPEAN;Москва;0;200;NaN;ALLROAD_5_DOORS;True;FAFBFB;True;5;J;980;3549000
